"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"GitHub, Technical Debt, Code Formatting, and More","J. C. Carver; J. Cabot; R. Capilla; H. Muccini",University of Alabama; Interdisciplinary Internet Institute; Rey Juan Carlos University of Madrid; University of L'Aquila,"IEEE Software","28 Mar 2017","2017","34","2","105","107","This issue's column reports on papers from the 19th International Conference on Model Driven Engineering Languages and Systems, the 2016 ACM SIGPLAN International Conference on Software Language Engineering, the 12th International ACM SIGSOFT Conference on the Quality of Software Architectures, and the 13th Working IEEE/IFIP Conference on Software Architecture. Topics discussed include GitHub and open source, technical debt in model-driven engineering, a universal code formatter, assuring architectural quality, and continuous architecting.","1937-4194","","10.1109/MS.2017.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7888414","GitHub;open source;UML;technical debt;code smells;model-driven engineering;code formatting;machine learning;AQAF;Architecture Quality Assurance Framework;AADL;Architecture Analysis and Design Language;architectural quality;continuous architecting;CAFFEA;Continuous Architecture Framework for Embedded and Agile Software Development;software engineering;software development","","","3","","","IEEE","28 Mar 2017","","","IEEE","IEEE Magazines"
"Condensing Architectural Knowledge from Unstructured Textual Media in Agile GSD Teams","G. Borrego","Facultad de Ciencias, Universidad Autónoma de Baja California, Ensenada, México","2016 IEEE 11th International Conference on Global Software Engineering Workshops (ICGSEW)","29 Sep 2016","2016","","","69","72","Agile Global Software Development (AGSD) is a reality, since nowadays software products are required to get into the market with more speed than before. This situation has pushed Global Software Development (GSD) companies to adopt lighter ways to develop software (Agile Software Development - ASD) to satisfy market demands. However, AGSD companies have encountered increased technical debt and architectural knowledge (AK) vaporization, mainly because the inherent differences between ASD and GSD, especially in documentation handling. This paper describes a research project in which it is proposed to exploit the AK that is recorded in unstructured textual electronic media (UTEM) generally used in AGSD, in order to decrease the problems of software evolution and maintenance, caused by a lack of adequate AK. Until now, the preliminary results of this research show that this approach could be feasible in AGSD environments.","2329-6313","978-1-5090-3625-7","10.1109/ICGSEW.2016.16","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7579489","agile global software development;architectural knowledge;unstructured textual media;architectural knowledge vaporization;technical debt;architectural knowledge condensation","Software;Documentation;Companies;Media;Maintenance engineering;Electronic mail;Collaboration","","1","","44","IEEE","29 Sep 2016","","","IEEE","IEEE Conferences"
"Risk Appetite in Architectural Decision-Making","A. Zalewski","Institute of Control and Computation Engineering, Warsaw University of Technology, Warsaw, Poland","2017 IEEE International Conference on Software Architecture Workshops (ICSAW)","26 Jun 2017","2017","","","149","152","This paper is an exploratory study on architects' attitudes towards risk and its influences on the architectural decision-making process. A classification of architects' attitude to risk-taking has been developed on the basis of Fowler's Technical Debt Quadrants. The core proposition of the paper is that the well-established concept of `risk appetite' can be equally well applied to characterise and classify architects' attitudes towards risk. This enables the aspects of the decision-making process that are influenced by architects' attitudes towards risks to be identified, and reveals what these influences are. It has been shown that the proposed classifications reflect many real-world situations.","","978-1-5090-4793-2","10.1109/ICSAW.2017.38","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958473","risk;risk appetite;architecture decision-making","Decision making;Computer architecture;Software;Conferences;Risk management;Standards","","","","17","IEEE","26 Jun 2017","","","IEEE","IEEE Conferences"
"Towards Assessing Software Architecture Quality by Exploiting Code Smell Relations","F. A. Fontana; V. Ferme; M. Zanoni","Department of Informatics, Systems and Communication University of Milano-Bicocca, Milano, Italy; Faculty of Informatics University of Lugano (USI), Switzerland; Department of Informatics, Systems and Communication University of Milano-Bicocca, Milano, Italy","2015 IEEE/ACM 2nd International Workshop on Software Architecture and Metrics","3 Aug 2015","2015","","","1","7","We can evaluate software architecture quality using a plethora of metrics proposed in the literature, but interpreting and exploiting in the right way these metrics is not always a simple task. This is true for both fixing the right metric threshold values and determining the actions to be taken to improve the quality of the system. Instead of metrics, we can detect code or architectural anomalies that give us useful hints on the possible architecture degradation. In this paper, we focus our attention on the detection of code smells and in particular on their relations and co-occurrences, with the aim to evaluate technical debt in an architectural context. We start from the assumption that certain patterns of code anomalies tend to be better indicators of architectural degradation than simple metrics evaluation.","","978-1-4673-7076-9","10.1109/SAM.2015.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7174842","","Measurement;Couplings;Surgery;Cascading style sheets;Computer architecture;Software architecture;Degradation","","31","","26","IEEE","3 Aug 2015","","","IEEE","IEEE Conferences"
"Toward Design Decisions to Enable Deployability: Empirical Study of Three Projects Reaching for the Continuous Delivery Holy Grail","S. Bellomo; N. Ernst; R. Nord; R. Kazman","Software Engineering Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Software Engineering Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Software Engineering Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Software Engineering Institute, Carnegie Mellon University, Pittsburgh, PA, USA","2014 44th Annual IEEE/IFIP International Conference on Dependable Systems and Networks","22 Sep 2014","2014","","","702","707","There is growing interest in continuous delivery practices to enable rapid and reliable deployment. While practices are important, we suggest architectural design decisions are equally important for projects to achieve goals such continuous integration (CI) build, automated testing and reduced deployment-cycle time. Architectural design decisions that conflict with deploy ability goals can impede the team's ability to achieve the desired state of deployment and may result in substantial technical debt. To explore this assertion, we interviewed three project teams striving to practicing continuous delivery. In this paper, we summarize examples of the deploy ability goals for each project as well as the architectural decisions that they have made to enable deploy ability. We present the deploy ability goals, design decisions, and deploy ability tactics collected and summarize the design tactics derived from the interviews in the form of an initial draft version hierarchical deploy ability tactic tree.","2158-3927","978-1-4799-2233-8","10.1109/DSN.2014.104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6903628","deployability;continuous integration;continuous delivery;architecture tactic;test automation","Databases;Web services;Interviews;Testing;Computer architecture;Servers;Availability","","25","","15","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Recover and RELAX: Concern-Oriented Software Architecture Recovery for Systems Development and Maintenance","D. Link; P. Behnamghader; R. Moazeni; B. Boehm","Center for Systems and Software Engineering, University of Southern California, Los Angeles, USA; Center for Systems and Software Engineering, University of Southern California, Los Angeles, USA; Computer Engineering Department, Santa Clara University, Santa Clara, USA; Center for Systems and Software Engineering, University of Southern California, Los Angeles, USA","2019 IEEE/ACM International Conference on Software and System Processes (ICSSP)","26 Aug 2019","2019","","","64","73","The stakeholders of a system are legitimately interested in whether and how its architecture reflects their respective concerns at each point of its development and maintenance processes. Having such knowledge available at all times would enable them to continually adjust their systems structure at each juncture and reduce the buildup of technical debt that can be hard to reduce once it has persisted over many iterations. Unfortunately, software systems often lack reliable and current documentation about their architecture. In order to remedy this situation, researchers have conceived a number of architectural recovery methods, some of them concern-oriented. However, the design choices forming the bases of most existing recovery methods make it so none of them have a complete set of desirable qualities for the purpose stated above. Tailoring a recovery to a system is either not possible or only through iterative experiments with numeric parameters. Furthermore, limitations in the scalability of the employed recovery algorithms make it prohibitive to apply the existing techniques to large systems. Finally, since several current recovery methods employ nondeterministic sampling, their inconsistent results do not lend themselves well to tracking a systems course over several versions, as needed by its stakeholders. RELAX (RELiable Architecture EXtraction), a new concern based recovery method that uses text classification, addresses these issues efficiently (1) by assembling the overall recovery result from smaller, independent parts, (2) basing it on an algorithm with linear time complexity and (3) being tailorable to the recovery of a single system or a sequence thereof through the selection of meaningfully named, semantic topics. An intuitive and informative architectural visualization rounds out RELAX's contributions. RELAX is illustrated on a number of existing open-source systems and compared to other recovery methods. Index Terms-software architecture, architectural change, software evolution, open source software, architecture recovery, software development management, software maintenance.","","978-1-7281-3393-5","10.1109/ICSSP.2019.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812871","software architecture, architectural change, software evolution, open source software, architecture recovery, software development management, software maintenance","Computer architecture;Stakeholders;Software architecture;Visualization;Maintenance engineering;Software systems;Documentation","","5","","43","IEEE","26 Aug 2019","","","IEEE","IEEE Conferences"
"A Case Study in Locating the Architectural Roots of Technical Debt","R. Kazman; Y. Cai; R. Mo; Q. Feng; L. Xiao; S. Haziyev; V. Fedak; A. Shapochka","SEU/CMU & U. of Hawaii, Honolulu, HI, USA; Drexel University, Philadelphia, PA, USA; Drexel University, Philadelphia, PA, USA; Drexel University, Philadelphia, PA, USA; Drexel University, Philadelphia, PA, USA; SoftServe Inc., Lviv, Ukraine; SoftServe Inc., Lviv, Ukraine; SoftServe Inc., Lviv, Ukraine","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering","17 Aug 2015","2015","2","","179","188","Our recent research has shown that, in large-scale software systems, defective files seldom exist alone. They are usually architecturally connected, and their architectural structures exhibit significant design flaws which propagate bugginess among files. We call these flawed structures the architecture roots, a type of technical debt that incurs high maintenance penalties. Removing the architecture roots of bugginess requires refactoring, but the benefits of refactoring have historically been difficult for architects to quantify or justify. In this paper, we present a case study of identifying and quantifying such architecture debts in a large-scale industrial software project. Our approach is to model and analyze software architecture as a set of design rule spaces (DRSpaces). Using data extracted from the project's development artifacts, we were able to identify the files implicated in architecture flaws and suggest refactorings based on removing these flaws. Then we built economic models of the before and (predicted) after states, which gave the organization confidence that doing the refactorings made business sense, in terms of a handsome return on investment.","1558-1225","978-1-4799-1934-5","10.1109/ICSE.2015.146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7202962","","Computer architecture;Software engineering;Business;History;Sonar detection;Microprocessors","","69","","33","IEEE","17 Aug 2015","","","IEEE","IEEE Conferences"
"Visualising architectural dependencies","J. Brondum; L. Zhu","NICTA, University of New South Wales, Sydney, Australia; NICTA, University of New South Wales, Sydney, Australia","2012 Third International Workshop on Managing Technical Debt (MTD)","28 Jun 2012","2012","","","7","14","Visibility of technical debt is critical. A lack thereof can lead to significant problems without adequate visibility as part of the system level decision-making processes [2]. Current approaches for analysing and monitoring architecture related debt are based on dependency analysis to detect code level violations of the software architecture [2,3,6]. However, heterogeneous environments with several systems constructed using OTS, and/or several programming languages may not offer sufficient code visibility. Other limiting factors include legal contracts, Intellectual Property Rights, and just very large systems. Secondly, the complexity of a software dependency is often greater than simple structural dependencies, including; multi-dimensional properties (as argued by [10]); behavioural dependencies [5,9]; and `implicit' dependencies (i.e., dependency inter-relatedness [11]). This paper proposes a simple modelling approach for visualising dependency relationships as an extension of the current approaches, while supporting complex dependencies. The model can be built using existing dependency analysis and general architectural knowledge; thus is better suited for heterogeneous environments. We demonstrate the proposed modelling using an exemplar, and two field case studies.","","978-1-4673-1749-8","10.1109/MTD.2012.6226003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226003","Software Architecture;Architectural Dependency Analysis;Architectural Debt","","","14","","15","IEEE","28 Jun 2012","","","IEEE","IEEE Conferences"
"Estimating and Quantifying the Benefits of Refactoring to Improve a Component Modularity: A Case Study","A. Martini; E. Sikander; N. Medlani","Software Engineering Division, Chalmers University of Technology, Gothenburg, Sweden; Software Engineering Division, Chalmers University of Technology, Gothenburg, Sweden; Software Engineering Division, Chalmers University of Technology, Gothenburg, Sweden","2016 42th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","18 Oct 2016","2016","","","92","99","In recent years, research and industry's attention has been focused on maintaining a system that would both decrease time to market in the short term and assure a sustainable feature output and smooth maintenance operations in the long run. A related phenomenon has been identified in Architectural Technical Debt: if the system architecture is sub-optimal for long-term business goals, it needs to be refactored. A key property of the system assuring long-term goals consists on modularity, or else the ability to decouple different components: such property allows the product to be evolved without costly changes pervading the whole system. However, understanding the business benefits of refactoring to achieve modularity is not trivial, especially for large refactorings involving substantial architectural changes. We have conducted a case study in a large company, analyzing a case of refactoring a component to achieve modularity. We report a comparative study of a refactored against a non-refactored component. We found that the modularization would be repaid in several months of development and maintenance. We present a method to calculate the effort saved by the modularization and an equation for calculating and quantifying the development and maintenance benefits of refactoring.","2376-9505","978-1-5090-2820-7","10.1109/SEAA.2016.48","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7592783","Software Management;Refactoring;Estimation;Technical Debt;Modularization;Software Architecture","Complexity theory;Maintenance engineering;Software;Companies;Interviews;Stakeholders","","7","","11","IEEE","18 Oct 2016","","","IEEE","IEEE Conferences"
"Applying Social Network Analysis Techniques to Architectural Smell Prediction","A. Tommasel","ISISTAN, CONICET-UNICEN, Argentina","2019 IEEE International Conference on Software Architecture Companion (ICSA-C)","13 May 2019","2019","","","254","261","As a software system evolves, the amount and complexity of the interactions amongst its components is likely to increase, which negatively affects the system design structure and also its quality. For instance, certain modules might become coupled due to a new user feature being added or to suboptimal development decisions. Design degradation symptoms are often related to high coupling and unwanted dependencies, such as: cyclic dependencies or violations to design rules, amongst other architectural smells. Thus, the early detection of such symptoms is important for architects to: i) anticipate dependency-related design problems in different parts of the system, ii) assess possible situations of technical debt, and iii) proactively look for solutions to preserve the quality of the system. Although there are approaches that analyse design dependencies in code bases and flag smell occurrences, very few of them have dealt with the prediction of dependency relations amongst software components. This research hypothesises that a predictive approach can warn architects about dependency-related problems before they appear. To this end, a particular graph-based approach is social networks analysis (SNA), which has been used for modelling both nature and human phenomena. Specifically, SNA techniques can predict links that do not yet exist between pairs of nodes in a network. SNA applications have shown evidence that the topological features of dependency graphs can reveal interesting properties of the software system under analysis. Nonetheless, SNA techniques have not yet been extensively exploited in the Software Architecture community. In this context, the question that motivates this research is to what extent SNA can leverage on information from a software design (and its evolution over time) for inferring new dependencies and likely configurations of architectural smells out of those dependencies.","","978-1-7281-1876-5","10.1109/ICSA-C.2019.00053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8712369","","Measurement;Social networking (online);Computer architecture;Software architecture;Software systems;Software design","","1","","30","IEEE","13 May 2019","","","IEEE","IEEE Conferences"
"Reducing Incidents in Microservices by Repaying Architectural Technical Debt","S. S. de Toledo; A. Martini; D. I. K. Sjøberg; A. Przybyszewska; J. S. Frandsen","Dept. of Informatics, University of Oslo, Oslo, Norway; Dept. of Informatics, University of Oslo, Oslo, Norway; Dept. of Informatics, University of Oslo, Oslo, Norway; Dept. of Computer Science, IT University of Copenhagen, Copenhagen, Denmark; NA","2021 47th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","27 Oct 2021","2021","","","196","205","Architectural technical debt (ATD) may create a substantial extra effort in software development, which is called interest. There is little evidence about whether repaying ATD in microservices reduces such interest. Objectives: We wanted to conduct a first study on investigating the effect of removing ATD on the occurrence of incidents in a microservices architecture. Method: We conducted a quantitative and qualitative case study of a project with approximately 1000 microservices in a large, international financing services company. We measured and compared the number of software incidents of different categories before and after repaying ATD. Results: The total number of incidents was reduced by 84%, and the numbers of critical- and high-priority incidents were both reduced by approximately 90% after the architectural refactoring. The number of incidents in the architecture with the ATD was mainly constant over time, but we observed a slight increase of low priority incidents related to inaccessibility and the environment in the architecture without the ATD. Conclusion: This study shows evidence that refactoring ATDs, such as lack of communication standards, poor management of dead-letter queues, and the use of inadequate technologies in microservices, reduces the number of critical- and high-priority incidents and, thus, part of its interest, although some low priority incidents may increase.","","978-1-6654-2705-0","10.1109/SEAA53835.2021.00033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582573","Technical Debt;Architecture;Microservices;Case Study","Computer architecture;Companies;Software;Software measurement;Software engineering;Communication standards","","","","21","IEEE","27 Oct 2021","","","IEEE","IEEE Conferences"
"Architectural Technical Debt Identification: The Research Landscape","R. Verdecchia; I. Malavolta; P. Lago","Vrije Universiteit, Amsterdam, The Netherlands; Vrije Universiteit, Amsterdam, The Netherlands; Vrije Universiteit, Amsterdam, The Netherlands","2018 IEEE/ACM International Conference on Technical Debt (TechDebt)","30 Dec 2018","2018","","","11","20","Architectural Technical Debt (ATD) regards sub-optimal design decisions that bring short-term benefits to the cost of long-term gradual deterioration of the quality of the architecture of a software system. The identification of ATD strongly in uences the technical and economic sustainability of software systems and is attracting growing interest in the scientific community. During the years several approaches for ATD identification have been conceived, each of them addressing ATD from di erent perspectives and with heterogeneous characteristics. In this paper we apply the systematic mapping study methodology for identifying, classifying, and evaluating the state of the art on ATD identification from the following three perspectives: publication trends, characteristics, and potential for industrial adoption. Speci cally, starting from a set of 509 potentially relevant studies, we systematically selected 47 primary studies and analyzed them according to a rigorously-de ned classification framework. The analysis of the obtained results supports both researchers and practitioners by providing (i) an assessment of current research trends and gaps in ATD identification, (ii) a solid foundation for understanding existing (and future) research on ATD identification, and (iii) a rigorous evaluation of its potential for industrial adoption.","","978-1-4503-5713-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8595095","Technical debt;Software architecture;Systematic mapping study","Market research;Systematics;Software architecture;Focusing;Object recognition;Software systems","","8","","30","","30 Dec 2018","","","IEEE","IEEE Conferences"
"Architectural Technical Debt Identification Based on Architecture Decisions and Change Scenarios","Z. Li; P. Liang; P. Avgeriou","Department of Mathematics and Computing Science, University of Groningen, Groningen, The Netherlands; State Key Lab of Software Engineering, School of Computer Wuhan University, Wuhan, China; Department of Mathematics and Computing Science, University of Groningen, Groningen, The Netherlands","2015 12th Working IEEE/IFIP Conference on Software Architecture","16 Jul 2015","2015","","","65","74","Architectural technical debt (ATD) is incurred by design decisions that intentionally or unintentionally compromise system-wide quality attributes, particularly maintainability and evolvability. ATD is harmful to the system's long-term health, thus it needs to be identified for further management. However, existing ATD identification approaches are mainly based on source code analysis and thus suffer from certain shortcomings: they can only identify issues at the system implementation, they can only be employed after the systems is implemented in code, they lack a mechanism to confirm whether the potential ATD identified is real ATD or not. To address these issues, we proposed an ATD identification approach based on architecture decisions and change scenarios. To evaluate the effectiveness and usability of this approach, we conducted a case study with an information system in a large telecommunications company. The results show that the proposed approach is useful and easy to use, and it supports release planning and ATD interest measurement.","","978-1-4799-1922-2","10.1109/WICSA.2015.19","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7158505","Architectural technical debt;architectural technical debt identification;architecture decision;change scenario","Computer architecture;Software systems;Planning;Interviews;Telecommunications;Usability","","24","","22","IEEE","16 Jul 2015","","","IEEE","IEEE Conferences"
"Architectural Technical Debt in Embedded Systems","A. Martini; J. Bosch",NA; NA,"Systems Engineering in the Fourth Industrial Revolution: Big Data, Novel Technologies, and Modern Systems Engineering","","2020","","","77","103","Agile software development (ASD) has been employed effectively in the development of embedded systems, contributing to speeding up the delivery of value to the customers. However, some obstacles have been found, limiting the application of ASD to such a domain. This chapter focuses on one such challenges, the degradation of the system architecture over time, which is called, in literature, Architectural Technical Debt (ATD). Software engineering is an individual activity and the causes for ATD accumulation can be related to suboptimal decision taken by individual employees. New employees as well are more subjected to accumulating ATD due to the natural noncomplete understanding of the architecture and patterns. The chapter summarizes the causes, trends, consequences, and possible solutions related to the management of ATD. The results are all based on a strong collaboration with several software‐intensive systems industries located in northern Europe and, consequently, relevant to all Industry 4.0 companies.","","9781119513940","10.1002/9781119513957.ch4","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9822620.pdf&bkn=9820812&pdfType=chapter","","Companies;Computer architecture;Software;Systems architecture;Embedded systems;Teamwork;Systematics","","1","","","","12 Jul 2022","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Architectural Archipelagos: Technical Debt in Long-Lived Software Research Platforms","M. S. Laser; D. Minh Le; J. Garcia; N. Medvidović","University Of Southern California; Bloomberg LP; University of California, Irvine; University Of Southern California","2021 IEEE/ACM International Conference on Technical Debt (TechDebt)","25 Jun 2021","2021","","","94","98","This paper identifies a model of software evolution that is prevalent in large, long-lived academic research tool suites (3L-ARTS). This model results in an ""archipelago"" of related but haphazardly organized architectural ""islands"", and inherently induces technical debt. We illustrate the archipelago model with examples from two 3L-ARTS archipelagos identified in literature.","","978-1-6654-1405-0","10.1109/TechDebt52882.2021.00019","National Science Foundation; Office of Naval Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9462988","Software research;proof-of-concept;archipelago","Tools;Software","","","","43","IEEE","25 Jun 2021","","","IEEE","IEEE Conferences"
"[Front matter]","",,"2015 IEEE 7th International Workshop on Managing Technical Debt (MTD)","23 Nov 2015","2015","","","i","ii","The following topics are dealt with: technical debt management; code debt; architectural debt; software refactoring; and software testing.","","978-1-4673-7378-4","10.1109/MTD.2015.7332614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332614","","","","","","","IEEE","23 Nov 2015","","","IEEE","IEEE Conferences"
"Table of contents","",,"2017 IEEE International Conference on Software Architecture (ICSA)","18 May 2017","2017","","","v","viii","The following topics are dealt with: microservices; cloud computing; Web applications; security of data; architectural knowledge; collaborative design; decision making; software quality; technical debt; continuous evolution; automotives; cyber physical systems; CPS; Internet of Things; IoT; traceability; and block chain.","","978-1-5090-5729-0","10.1109/ICSA.2017.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930187","","","","","","","IEEE","18 May 2017","","","IEEE","IEEE Conferences"
